GO,NS,enrichment,name,ratio_in_study,ratio_in_pop,p_uncorrected,depth,study_count,p_fdr,study_items,p_fdr_fix,cluster_id,cluster_type
GO:0032101,BP,e,regulation of response to external stimulus,"(10, 15)","(122, 3513)",4.585319551472032e-12,4,10,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'CYLD', 'BIRC2', 'MAP3K7', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0051092,BP,e,positive regulation of NF-kappaB transcription factor activity,"(7, 15)","(30, 3513)",9.606224134657377e-12,12,7,0.0,"['RNF31', 'RELA', 'TRAF6', 'MYD88', 'CFLAR', 'MAP3K7', 'TRAF2']",0.001996007984031936,0.0,sensor
GO:0033209,BP,e,tumor necrosis factor-mediated signaling pathway,"(7, 15)","(33, 3513)",2.0037147400641314e-11,7,7,0.0,"['RELA', 'TRAF6', 'NFKBIA', 'TNFAIP3', 'CYLD', 'BIRC2', 'TRAF2']",0.001996007984031936,0.0,sensor
GO:0007166,BP,e,cell surface receptor signaling pathway,"(13, 15)","(408, 3513)",4.961155760197375e-11,5,13,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'NCOA5', 'TNFAIP3', 'CYLD', 'CFLAR', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0006955,BP,e,immune response,"(11, 15)","(229, 3513)",7.756903799240406e-11,2,11,0.0,"['RNF31', 'RELA', 'TRAF6', 'MYD88', 'TNFAIP3', 'NFKB2', 'CYLD', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0071345,BP,e,cellular response to cytokine stimulus,"(10, 15)","(164, 3513)",9.21921913069761e-11,5,10,0.0,"['RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'CYLD', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0002224,BP,e,toll-like receptor signaling pathway,"(6, 15)","(22, 3513)",1.3867951683345952e-10,6,6,0.0,"['TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'BIRC2', 'MAP3K7']",0.001996007984031936,0.0,sensor
GO:0080134,BP,e,regulation of response to stress,"(11, 15)","(243, 3513)",1.4880016323545628e-10,4,11,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'CYLD', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0034097,BP,e,response to cytokine,"(10, 15)","(174, 3513)",1.6710628058049258e-10,4,10,0.0,"['RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'CYLD', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0002460,BP,e,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,"(7, 15)","(45, 3513)",2.0776470482260025e-10,4,7,0.0,"['TRAF6', 'MYD88', 'TNFAIP3', 'NFKB2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0070498,BP,e,interleukin-1-mediated signaling pathway,"(4, 15)","(4, 3513)",2.1546329155962038e-10,7,4,0.0,"['MAP3K7', 'TRAF6', 'IL1R1', 'MYD88']",0.001996007984031936,0.0,sensor
GO:0048584,BP,e,positive regulation of response to stimulus,"(12, 15)","(351, 3513)",2.865561051062167e-10,4,12,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'CYLD', 'CFLAR', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0002250,BP,e,adaptive immune response,"(7, 15)","(49, 3513)",3.9012565423188567e-10,3,7,0.0,"['TRAF6', 'MYD88', 'TNFAIP3', 'NFKB2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0009967,BP,e,positive regulation of signal transduction,"(11, 15)","(266, 3513)",4.0014335592740195e-10,6,11,0.0,"['RNF31', 'RELA', 'TRAF6', 'MYD88', 'TNFAIP3', 'CYLD', 'CFLAR', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0050727,BP,e,regulation of inflammatory response,"(7, 15)","(51, 3513)",5.236861941043338e-10,6,7,0.0,"['RELA', 'NFKBIA', 'MYD88', 'TNFAIP3', 'CYLD', 'BIRC2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0051091,BP,e,positive regulation of DNA-binding transcription factor activity,"(7, 15)","(51, 3513)",5.236861941043338e-10,11,7,0.0,"['RNF31', 'RELA', 'TRAF6', 'MYD88', 'CFLAR', 'MAP3K7', 'TRAF2']",0.001996007984031936,0.0,sensor
GO:0010647,BP,e,positive regulation of cell communication,"(11, 15)","(286, 3513)",8.815115693528909e-10,5,11,0.0,"['RNF31', 'RELA', 'TRAF6', 'MYD88', 'TNFAIP3', 'CYLD', 'CFLAR', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0001817,BP,e,regulation of cytokine production,"(8, 15)","(92, 3513)",9.026305389838712e-10,6,8,0.0,"['RELA', 'TRAF6', 'MYD88', 'TNFAIP3', 'CYLD', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0023056,BP,e,positive regulation of signaling,"(11, 15)","(287, 3513)",9.156119261974261e-10,4,11,0.0,"['RNF31', 'RELA', 'TRAF6', 'MYD88', 'TNFAIP3', 'CYLD', 'CFLAR', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0009966,BP,e,regulation of signal transduction,"(13, 15)","(514, 3513)",9.755677244903261e-10,5,13,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'NCOA5', 'TNFAIP3', 'CYLD', 'CFLAR', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0002682,BP,e,regulation of immune system process,"(10, 15)","(208, 3513)",9.932311561633358e-10,3,10,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0001816,BP,e,cytokine production,"(8, 15)","(94, 3513)",1.0755459696267878e-09,5,8,0.0,"['RELA', 'TRAF6', 'MYD88', 'TNFAIP3', 'CYLD', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0006952,BP,e,defense response,"(10, 15)","(210, 3513)",1.092310352697558e-09,3,10,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'CYLD', 'BIRC2', 'MAP3K7', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0071356,BP,e,cellular response to tumor necrosis factor,"(7, 15)","(58, 3513)",1.3409490662984803e-09,6,7,0.0,"['RELA', 'TRAF6', 'NFKBIA', 'TNFAIP3', 'CYLD', 'BIRC2', 'TRAF2']",0.001996007984031936,0.0,sensor
GO:0034612,BP,e,response to tumor necrosis factor,"(7, 15)","(59, 3513)",1.5183890726532444e-09,5,7,0.0,"['RELA', 'TRAF6', 'NFKBIA', 'TNFAIP3', 'CYLD', 'BIRC2', 'TRAF2']",0.001996007984031936,0.0,sensor
GO:0002376,BP,e,immune system process,"(12, 15)","(414, 3513)",2.0242029804788517e-09,1,12,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'NFKB2', 'CYLD', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0010646,BP,e,regulation of cell communication,"(13, 15)","(556, 3513)",2.670183520376229e-09,4,13,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'NCOA5', 'TNFAIP3', 'CYLD', 'CFLAR', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0030522,BP,e,intracellular receptor signaling pathway,"(7, 15)","(64, 3513)",2.737088381283583e-09,5,7,0.0,"['RELA', 'TRAF6', 'NFKBIA', 'TNFAIP3', 'CYLD', 'BIRC2', 'MAP3K7']",0.001996007984031936,0.0,sensor
GO:0023051,BP,e,regulation of signaling,"(13, 15)","(558, 3513)",2.795741059402571e-09,3,13,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'NCOA5', 'TNFAIP3', 'CYLD', 'CFLAR', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0002724,BP,e,regulation of T cell cytokine production,"(4, 15)","(6, 3513)",3.2157582231100515e-09,8,4,0.0,"['MAP3K7', 'TRAF2', 'TRAF6', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0002726,BP,e,positive regulation of T cell cytokine production,"(4, 15)","(6, 3513)",3.2157582231100515e-09,9,4,0.0,"['MAP3K7', 'TRAF2', 'TRAF6', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0002369,BP,e,T cell cytokine production,"(4, 15)","(6, 3513)",3.2157582231100515e-09,7,4,0.0,"['MAP3K7', 'TRAF2', 'TRAF6', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:1902531,BP,e,regulation of intracellular signal transduction,"(11, 15)","(323, 3513)",3.29629127920179e-09,6,11,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'CYLD', 'CFLAR', 'BIRC2', 'MAP3K7', 'TRAF2']",0.001996007984031936,0.0,sensor
GO:0071310,BP,e,cellular response to organic substance,"(12, 15)","(444, 3513)",4.613667697245809e-09,4,12,0.0,"['RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'NCOA5', 'TNFAIP3', 'CYLD', 'CFLAR', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:1901222,BP,e,regulation of NIK/NF-kappaB signaling,"(5, 15)","(18, 3513)",5.61073941582176e-09,7,5,0.0,"['RELA', 'TRAF6', 'NFKBIA', 'CYLD', 'BIRC2']",0.001996007984031936,0.0,sensor
GO:0050776,BP,e,regulation of immune response,"(8, 15)","(116, 3513)",5.897731364400529e-09,4,8,0.0,"['RNF31', 'RELA', 'TRAF6', 'TNFAIP3', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0071347,BP,e,cellular response to interleukin-1,"(5, 15)","(20, 3513)",1.0104473090412827e-08,6,5,0.0,"['RELA', 'TRAF6', 'MYD88', 'MAP3K7', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0048583,BP,e,regulation of response to stimulus,"(13, 15)","(635, 3513)",1.4547963869078848e-08,3,13,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'NCOA5', 'TNFAIP3', 'CYLD', 'CFLAR', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0002711,BP,e,positive regulation of T cell mediated immunity,"(4, 15)","(8, 3513)",1.4931671626146166e-08,8,4,0.0,"['MAP3K7', 'TRAF2', 'TRAF6', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0035556,BP,e,intracellular signal transduction,"(12, 15)","(504, 3513)",2.0370257895530962e-08,5,12,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'NFKB2', 'CFLAR', 'CYLD', 'BIRC2', 'MAP3K7', 'TRAF2']",0.001996007984031936,0.0,sensor
GO:0051707,BP,e,response to other organism,"(9, 15)","(202, 3513)",2.138051642281609e-08,4,9,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'CYLD', 'BIRC2', 'MAP3K7']",0.001996007984031936,0.0,sensor
GO:0043207,BP,e,response to external biotic stimulus,"(9, 15)","(202, 3513)",2.138051642281609e-08,3,9,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'CYLD', 'BIRC2', 'MAP3K7']",0.001996007984031936,0.0,sensor
GO:0098542,BP,e,defense response to other organism,"(8, 15)","(138, 3513)",2.3659155073974646e-08,5,8,0.0,"['RNF31', 'RELA', 'TRAF6', 'MYD88', 'TNFAIP3', 'CYLD', 'BIRC2', 'MAP3K7']",0.001996007984031936,0.0,sensor
GO:0002720,BP,e,positive regulation of cytokine production involved in immune response,"(4, 15)","(9, 3513)",2.6809570034085435e-08,8,4,0.0,"['MAP3K7', 'TRAF2', 'TRAF6', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0009607,BP,e,response to biotic stimulus,"(9, 15)","(209, 3513)",2.890116522913227e-08,2,9,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'CYLD', 'BIRC2', 'MAP3K7']",0.001996007984031936,0.0,sensor
GO:0006954,BP,e,inflammatory response,"(7, 15)","(91, 3513)",3.376020013400906e-08,4,7,0.0,"['RELA', 'NFKBIA', 'MYD88', 'TNFAIP3', 'CYLD', 'BIRC2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0070555,BP,e,response to interleukin-1,"(5, 15)","(25, 3513)",3.421603763110183e-08,5,5,0.0,"['RELA', 'TRAF6', 'MYD88', 'MAP3K7', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0002718,BP,e,regulation of cytokine production involved in immune response,"(4, 15)","(10, 3513)",4.4570485761864936e-08,7,4,0.0,"['MAP3K7', 'TRAF2', 'TRAF6', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0070887,BP,e,cellular response to chemical stimulus,"(12, 15)","(544, 3513)",4.959127474346554e-08,3,12,0.0,"['RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'NCOA5', 'TNFAIP3', 'CYLD', 'CFLAR', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:1903506,BP,e,regulation of nucleic acid-templated transcription,"(13, 15)","(703, 3513)",5.289780486487593e-08,8,13,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'NCOA5', 'TNFAIP3', 'NFKB2', 'CFLAR', 'CYLD', 'BIRC2', 'MAP3K7', 'TRAF2']",0.001996007984031936,0.0,sensor
GO:0006355,BP,e,"regulation of transcription, DNA-templated","(13, 15)","(703, 3513)",5.289780486487593e-08,9,13,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'NCOA5', 'TNFAIP3', 'NFKB2', 'CFLAR', 'CYLD', 'BIRC2', 'MAP3K7', 'TRAF2']",0.001996007984031936,0.0,sensor
GO:2001141,BP,e,regulation of RNA biosynthetic process,"(13, 15)","(704, 3513)",5.385803311639762e-08,7,13,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'NCOA5', 'TNFAIP3', 'NFKB2', 'CFLAR', 'CYLD', 'BIRC2', 'MAP3K7', 'TRAF2']",0.001996007984031936,0.0,sensor
GO:0007165,BP,e,signal transduction,"(14, 15)","(907, 3513)",6.200300880087609e-08,4,14,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'NCOA5', 'TNFAIP3', 'NFKB2', 'CFLAR', 'CYLD', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0002709,BP,e,regulation of T cell mediated immunity,"(4, 15)","(11, 3513)",6.986354792030232e-08,7,4,0.0,"['MAP3K7', 'TRAF2', 'TRAF6', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0002367,BP,e,cytokine production involved in immune response,"(4, 15)","(11, 3513)",6.986354792030232e-08,6,4,0.0,"['MAP3K7', 'TRAF2', 'TRAF6', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0010033,BP,e,response to organic substance,"(12, 15)","(561, 3513)",7.089170772058519e-08,3,12,0.0,"['RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'NCOA5', 'TNFAIP3', 'CYLD', 'CFLAR', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0007254,BP,e,JNK cascade,"(5, 15)","(29, 3513)",7.575207111526943e-08,8,5,0.0,"['TRAF6', 'MYD88', 'CYLD', 'MAP3K7', 'TRAF2']",0.001996007984031936,0.0,sensor
GO:0002822,BP,e,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,"(5, 15)","(30, 3513)",9.068563087890826e-08,6,5,0.0,"['TRAF6', 'TNFAIP3', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0097300,BP,e,programmed necrotic cell death,"(4, 15)","(12, 3513)",1.04532268650791e-07,4,4,0.0,"['BIRC2', 'TRAF2', 'CYLD', 'CFLAR']",0.001996007984031936,0.0,sensor
GO:0032623,BP,e,interleukin-2 production,"(4, 15)","(12, 3513)",1.04532268650791e-07,6,4,0.0,"['MAP3K7', 'TRAF2', 'TNFAIP3', 'TRAF6']",0.001996007984031936,0.0,sensor
GO:0032663,BP,e,regulation of interleukin-2 production,"(4, 15)","(12, 3513)",1.04532268650791e-07,7,4,0.0,"['MAP3K7', 'TRAF2', 'TNFAIP3', 'TRAF6']",0.001996007984031936,0.0,sensor
GO:0001819,BP,e,positive regulation of cytokine production,"(6, 15)","(62, 3513)",1.0455878764808704e-07,7,6,0.0,"['RELA', 'TRAF6', 'MYD88', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0045087,BP,e,innate immune response,"(7, 15)","(108, 3513)",1.123372204108437e-07,6,7,0.0,"['RELA', 'TRAF6', 'MYD88', 'TNFAIP3', 'CYLD', 'BIRC2', 'MAP3K7']",0.001996007984031936,0.0,sensor
GO:0002819,BP,e,regulation of adaptive immune response,"(5, 15)","(32, 3513)",1.27537510210951e-07,5,5,0.0,"['TRAF6', 'TNFAIP3', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0006351,BP,e,"transcription, DNA-templated","(13, 15)","(758, 3513)",1.3696863920502443e-07,9,13,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'NCOA5', 'TNFAIP3', 'NFKB2', 'CFLAR', 'CYLD', 'BIRC2', 'MAP3K7', 'TRAF2']",0.001996007984031936,0.0,sensor
GO:0097659,BP,e,nucleic acid-templated transcription,"(13, 15)","(758, 3513)",1.3696863920502443e-07,8,13,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'NCOA5', 'TNFAIP3', 'NFKB2', 'CFLAR', 'CYLD', 'BIRC2', 'MAP3K7', 'TRAF2']",0.001996007984031936,0.0,sensor
GO:0044419,BP,e,biological process involved in interspecies interaction between organisms,"(9, 15)","(252, 3513)",1.4957462904145543e-07,1,9,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'CYLD', 'BIRC2', 'MAP3K7']",0.001996007984031936,0.0,sensor
GO:0031663,BP,e,lipopolysaccharide-mediated signaling pathway,"(4, 15)","(13, 3513)",1.5061199267274292e-07,6,4,0.0,"['TNFAIP3', 'TRAF6', 'NFKBIA', 'MYD88']",0.001996007984031936,0.0,sensor
GO:0032774,BP,e,RNA biosynthetic process,"(13, 15)","(764, 3513)",1.512751085485915e-07,7,13,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'NCOA5', 'TNFAIP3', 'NFKB2', 'CFLAR', 'CYLD', 'BIRC2', 'MAP3K7', 'TRAF2']",0.001996007984031936,0.0,sensor
GO:0023052,BP,e,signaling,"(14, 15)","(972, 3513)",1.6076145405226198e-07,1,14,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'NCOA5', 'TNFAIP3', 'NFKB2', 'CFLAR', 'CYLD', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0007154,BP,e,cell communication,"(14, 15)","(978, 3513)",1.7495054220634487e-07,2,14,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'NCOA5', 'TNFAIP3', 'NFKB2', 'CFLAR', 'CYLD', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0010468,BP,e,regulation of gene expression,"(14, 15)","(983, 3513)",1.876495820516281e-07,5,14,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'NCOA5', 'TNFAIP3', 'NFKB2', 'CFLAR', 'CYLD', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0051252,BP,e,regulation of RNA metabolic process,"(13, 15)","(783, 3513)",2.0609491354223825e-07,6,13,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'NCOA5', 'TNFAIP3', 'NFKB2', 'CFLAR', 'CYLD', 'BIRC2', 'MAP3K7', 'TRAF2']",0.001996007984031936,0.0,sensor
GO:0002456,BP,e,T cell mediated immunity,"(4, 15)","(14, 3513)",2.103273653132299e-07,5,4,0.0,"['MAP3K7', 'TRAF2', 'TRAF6', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0070265,BP,e,necrotic cell death,"(4, 15)","(14, 3513)",2.103273653132299e-07,3,4,0.0,"['BIRC2', 'TRAF2', 'CYLD', 'CFLAR']",0.001996007984031936,0.0,sensor
GO:0002684,BP,e,positive regulation of immune system process,"(7, 15)","(121, 3513)",2.4770285000882194e-07,4,7,0.0,"['RNF31', 'RELA', 'TRAF6', 'MYD88', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0032495,BP,e,response to muramyl dipeptide,"(3, 15)","(4, 3513)",2.5144566125087647e-07,6,3,0.0,"['RELA', 'TNFAIP3', 'NFKBIA']",0.001996007984031936,0.0,sensor
GO:0002755,BP,e,MyD88-dependent toll-like receptor signaling pathway,"(3, 15)","(4, 3513)",2.5144566125087647e-07,7,3,0.0,"['MAP3K7', 'TRAF6', 'MYD88']",0.001996007984031936,0.0,sensor
GO:0009605,BP,e,response to external stimulus,"(10, 15)","(368, 3513)",2.6289299139512974e-07,2,10,0.002,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'CYLD', 'BIRC2', 'MAP3K7', 'IL1R1']",0.003992015968063872,0.0,sensor
GO:1902533,BP,e,positive regulation of intracellular signal transduction,"(8, 15)","(188, 3513)",2.706451944990885e-07,7,8,0.002,"['RNF31', 'RELA', 'TRAF6', 'MYD88', 'CFLAR', 'BIRC2', 'MAP3K7', 'TRAF2']",0.003992015968063872,0.0,sensor
GO:0006915,BP,e,apoptotic process,"(10, 15)","(372, 3513)",2.9163054677528025e-07,4,10,0.004,"['RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'CYLD', 'CFLAR', 'BIRC2', 'MAP3K7', 'TRAF2']",0.005988023952095809,0.0,sensor
GO:0071222,BP,e,cellular response to lipopolysaccharide,"(5, 15)","(38, 3513)",3.1336758697572143e-07,6,5,0.004,"['RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3']",0.005988023952095809,0.0,sensor
GO:0050778,BP,e,positive regulation of immune response,"(6, 15)","(77, 3513)",3.8999107925210163e-07,5,6,0.004,"['RNF31', 'RELA', 'TRAF6', 'MAP3K7', 'TRAF2', 'IL1R1']",0.005988023952095809,0.0,sensor
GO:0012501,BP,e,programmed cell death,"(10, 15)","(384, 3513)",3.9530718835929393e-07,3,10,0.004,"['RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'CYLD', 'CFLAR', 'BIRC2', 'MAP3K7', 'TRAF2']",0.005988023952095809,0.0,sensor
